Name,Latitude,Longitude,EllipsoidHeight,TimeStamp, X , Y ,A
ONDEP.GR1.33,48.4910801500327,7.28833699916803,716.568983,2024-09-05T11:26:01.170,6829804.6531,1016702.563396,667.829337
ONDEP.GR1.32,48.4910911083901,7.28834931260651,716.401018,2024-09-05T11:24:36.010,6829805.918832,1016703.405749,667.661418
ONDEP.GR1.31,48.4911012445282,7.28836216864738,716.303842,2024-09-05T11:24:14.740,6829807.095477,1016704.293095,667.564292
ONDEP.GR1.30,48.491111752321,7.28837474197503,716.15776,2024-09-05T11:23:54.300,6829808.312241,1016705.157341,667.418256
ONDEP.GR1.29,48.4911222580871,7.28838722169949,716.048153,2024-09-05T11:23:36.690,6829809.528405,1016706.014692,667.308698
ONDEP.GR1.28,48.4911329125619,7.28839970081504,715.954959,2024-09-05T11:23:07.550,6829810.761072,1016706.8711,667.215553
ONDEP.GR1.27,48.4911439040654,7.28841166402057,715.69305,2024-09-05T11:22:45.040,6829812.029079,1016707.687411,666.953695
ONDEP.GR1.26,48.4911541820485,7.28842405250953,715.514179,2024-09-05T11:22:24.050,6829813.219594,1016708.539404,666.774869
ONDEP.GR1.25,48.4911643187834,7.28843701817864,715.414646,2024-09-05T11:22:01.750,6829814.396746,1016709.434833,666.675382
ONDEP.GR1.24,48.4911751432807,7.28844927373658,715.296615,2024-09-05T11:21:41.800,6829815.647389,1016710.27372,666.557401
ONDEP.GR1.23,48.4911855703712,7.28846201583911,715.188248,2024-09-05T11:21:19.070,6829816.855873,1016711.150902,666.449083
ONDEP.GR1.22,48.4911961088775,7.2884745127044,715.051486,2024-09-05T11:20:54.550,6829818.075741,1016712.009317,666.312367
ONDEP.GR1.21,48.4912063827194,7.28848745286122,714.923363,2024-09-05T11:20:34.700,6829819.268009,1016712.902035,666.184293
ONDEP.GR1.20,48.4912168142128,7.28849954004243,714.752478,2024-09-05T11:20:13.620,6829820.474355,1016713.73087,666.013454
ONDEP.GR1.19,48.4912277812728,7.2885118934057,714.665277,2024-09-05T11:19:51.400,6829821.741216,1016714.576111,665.926303
ONDEP.GR1.18,48.4912383405499,7.28852398634016,714.607955,2024-09-05T11:19:31.590,6829822.961769,1016715.404597,665.86903
ONDEP.GR1.17,48.4912495909574,7.2885360020553,714.429955,2024-09-05T11:19:13.190,6829824.258726,1016716.223216,665.69108
ONDEP.GR1.16,48.4912603145272,7.2885479739195,714.225859,2024-09-05T11:18:52.090,6829825.497029,1016717.041778,665.48703
ONDEP.GR1.15,48.4912708073589,7.28856016652746,714.012942,2024-09-05T11:18:28.070,6829826.710607,1016717.878019,665.274163
ONDEP.GR1.14,48.4912811964777,7.28857301251845,713.906636,2024-09-05T11:18:11.380,6829827.915295,1016718.763091,665.167906
ONDEP.GR1.13,48.4912919974334,7.28858500169364,713.731195,2024-09-05T11:17:38.090,6829829.162258,1016719.582463,664.992511
ONDEP.GR1.12,48.4913023765756,7.28859736584161,713.610081,2024-09-05T11:17:19.500,6829830.363905,1016720.432044,664.871447
ONDEP.GR1.11,48.4913128940763,7.2886098085228,713.551871,2024-09-05T11:17:03.990,6829831.581225,1016721.286585,664.813282
ONDEP.GR1.10,48.4913235149648,7.28862166414757,713.456466,2024-09-05T11:16:46.090,6829832.807666,1016722.097189,664.717927
ONDEP.GR1.9,48.4913345571575,7.28863435416926,713.379572,2024-09-05T11:16:26.830,6829834.084217,1016722.96681,664.641083
ONDEP.GR1.8,48.4913449576608,7.28864739295465,713.379856,2024-09-05T11:16:06.260,6829835.290942,1016723.866036,664.641416
ONDEP.GR1.7,48.4913557784187,7.28865927966644,713.341499,2024-09-05T11:15:44.940,6829836.539693,1016724.677726,664.603105
ONDEP.GR1.6,48.4913663157267,7.28867211086005,713.323104,2024-09-05T11:15:25.030,6829837.760771,1016725.560809,664.58476
ONDEP.GR1.5,48.4913768605652,7.28868474562481,713.299571,2024-09-05T11:15:07.390,6829838.981896,1016726.429354,664.561276
ONDEP.GR1.4,48.4913875883425,7.28869685926312,713.351575,2024-09-05T11:14:51.520,6829840.221237,1016727.258346,664.613325
ONDEP.GR1.3,48.4913982920119,7.2887092563618,713.314836,2024-09-05T11:14:34.570,6829841.45904,1016728.108397,664.576637
ONDEP.GR1.2,48.4914086242895,7.28872202071094,713.355544,2024-09-05T11:14:17.490,6829842.657092,1016728.987784,664.617394
