FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
39.108002,85.665497,-39.000000,2.860000,43.500000,3.750000
38.307999,92.911491,-38.000000,2.750000,42.000000,3.750000
36.708000,88.883766,-36.000000,2.650000,40.500000,3.750000
35.811920,97.171082,-35.000000,2.390000,39.000000,3.750000
33.719204,88.188705,-33.000000,2.210000,37.500000,3.750000
32.672848,98.664307,-32.000000,2.110000,36.000000,3.750000
30.587807,89.351311,-30.000000,1.990000,34.500000,3.750000
29.550375,92.337265,-29.000000,1.890000,33.000000,3.750000
27.492544,86.391327,-27.000000,1.750000,31.500000,3.750000
26.597084,86.173836,-26.000000,1.620000,30.000000,3.750000
24.806162,92.192665,-24.000000,1.450000,28.500000,3.750000
23.910702,98.736176,-23.000000,1.360000,27.000000,3.750000
22.119780,99.162621,-21.000000,1.310000,25.500000,3.750000
21.224319,99.944405,-20.000000,1.130000,24.000000,3.750000
21.090000,95.696747,-18.000000,0.920000,22.500000,3.750000
21.090000,83.762436,-17.000000,0.710000,21.000000,3.750000
21.090000,16.577873,-15.000000,0.600000,19.500000,3.750000
20.362326,10.210284,-14.000000,0.430000,18.000000,3.750000
18.543142,0.108205,-12.000000,0.310000,16.500000,3.750000
17.633551,0.020668,-11.000000,0.250000,15.000000,3.750000
15.702528,13.296947,-9.000000,0.150000,13.500000,3.750000
14.480537,75.909058,-8.000000,0.080000,12.000000,3.750000
11.996442,68.459091,-6.000000,0.080000,10.500000,3.750000
7.127546,97.783432,-5.000000,0.040000,9.000000,3.750000
-0.410921,83.478371,-3.000000,0.020000,7.500000,3.750000
-3.694755,48.623611,-2.000000,0.000000,6.000000,3.750000
-9.939336,86.930695,0.000000,0.010000,3.000000,3.750000
-9.939336,74.623695,0.000000,0.050000,4.500000,3.750000
-8.052241,99.060577,2.000000,0.050000,1.500000,3.750000
-1.932000,95.184845,3.000000,0.000000,0.000000,3.750000
46.610001,84.472099,-65.000000,5.520000,70.500000,5.250000
47.930141,1.577929,-63.000000,5.410000,69.000000,5.250000
48.590210,1.145009,-62.000000,5.250000,67.500000,5.250000
49.910351,75.722389,-60.000000,5.120000,66.000000,5.250000
50.570419,98.648849,-59.000000,4.950000,64.500000,5.250000
51.890560,91.873444,-57.000000,4.750000,63.000000,5.250000
52.185692,99.814323,-56.000000,4.570000,61.500000,5.250000
51.725643,97.341721,-54.000000,4.400000,60.000000,5.250000
51.495617,93.015167,-53.000000,4.250000,58.500000,5.250000
51.035568,99.598389,-51.000000,4.070000,57.000000,5.250000
50.805546,59.412594,-50.000000,3.840000,55.500000,5.250000
50.287640,99.153778,-48.000000,3.800000,54.000000,5.250000
