G1WE48E2.bin
         2.00
11
1
Type of measurement (0=app. resistivity,1=resistance)
0
360
 2
0
4  20.00  0.00 62.00  0.00 34.00  0.00 48.00  0.00 510.08 
4  20.00  0.00 56.00  0.00 32.00  0.00 44.00  0.00 526.04 
4  20.00  0.00 50.00  0.00 30.00  0.00 40.00  0.00 542.32 
4  20.00  0.00 44.00  0.00 28.00  0.00 36.00  0.00 598.88 
4  20.00  0.00 38.00  0.00 26.00  0.00 32.00  0.00 679.54 
4  20.00  0.00 32.00  0.00 24.00  0.00 28.00  0.00 727.65 
4  20.00  0.00 26.00  0.00 22.00  0.00 24.00  0.00 678.29 
4  22.00  0.00 94.00  0.00 46.00  0.00 70.00  0.00 644.29 
4  22.00  0.00 88.00  0.00 44.00  0.00 66.00  0.00 590.69 
4  22.00  0.00 82.00  0.00 42.00  0.00 62.00  0.00 487.94 
4  22.00  0.00 76.00  0.00 40.00  0.00 58.00  0.00 405.08 
4  22.00  0.00 70.00  0.00 38.00  0.00 54.00  0.00 379.62 
4  22.00  0.00 64.00  0.00 36.00  0.00 50.00  0.00 442.53 
4  22.00  0.00 58.00  0.00 34.00  0.00 46.00  0.00 480.62 
4  22.00  0.00 52.00  0.00 32.00  0.00 42.00  0.00 474.80 
4  22.00  0.00 46.00  0.00 30.00  0.00 38.00  0.00 553.28 
4  22.00  0.00 40.00  0.00 28.00  0.00 34.00  0.00 634.56 
4  22.00  0.00 34.00  0.00 26.00  0.00 30.00  0.00 735.54 
4  22.00  0.00 28.00  0.00 24.00  0.00 26.00  0.00 672.03 
4  24.00  0.00 90.00  0.00 46.00  0.00 68.00  0.00 624.34 
4  24.00  0.00 84.00  0.00 44.00  0.00 64.00  0.00 530.36 
4  24.00  0.00 78.00  0.00 42.00  0.00 60.00  0.00 411.85 
4  24.00  0.00 72.00  0.00 40.00  0.00 56.00  0.00 369.66 
4  24.00  0.00 66.00  0.00 38.00  0.00 52.00  0.00 384.98 
4  24.00  0.00 60.00  0.00 36.00  0.00 48.00  0.00 430.50 
4  24.00  0.00 54.00  0.00 34.00  0.00 44.00  0.00 446.84 
4  24.00  0.00 48.00  0.00 32.00  0.00 40.00  0.00 500.16 
4  24.00  0.00 42.00  0.00 30.00  0.00 36.00  0.00 617.08 
4  24.00  0.00 36.00  0.00 28.00  0.00 32.00  0.00 766.30 
4  24.00  0.00 30.00  0.00 26.00  0.00 28.00  0.00 893.12 
4  26.00  0.00 92.00  0.00 48.00  0.00 70.00  0.00 631.90 
4  26.00  0.00 86.00  0.00 46.00  0.00 66.00  0.00 572.29 
4  26.00  0.00 80.00  0.00 44.00  0.00 62.00  0.00 448.08 
4  26.00  0.00 74.00  0.00 42.00  0.00 58.00  0.00 365.57 
4  26.00  0.00 68.00  0.00 40.00  0.00 54.00  0.00 326.09 
4  26.00  0.00 62.00  0.00 38.00  0.00 50.00  0.00 380.77 
4  26.00  0.00 56.00  0.00 36.00  0.00 46.00  0.00 408.14 
