Name,Latitude,Longitude,EllipsoidHeight,TimeStamp, X , Y ,A
ELEC.GR1.22,48.4912069989809,7.28849029246513,714.872495,2024-09-02T13:05:25.450,6829819.347802,1016713.10782,666.13343
ELEC.GR1.21,48.4912212385179,7.28850643048013,714.679214,2024-09-02T13:05:10.580,6829820.993078,1016714.212542,665.940214
ELEC.GR1.20,48.4912353323132,7.28852300572232,714.531939,2024-09-02T13:04:54.370,6829822.623931,1016715.350402,665.793003
ELEC.GR1.19,48.4912491503413,7.28854063291444,714.384257,2024-09-02T13:04:39.020,6829824.228394,1016716.567536,665.645386
ELEC.GR1.18,48.4912634410701,7.28855659785242,714.104978,2024-09-02T13:04:24.600,6829825.878658,1016717.659178,665.366172
ELEC.GR1.17,48.4912777080413,7.28857274960425,713.89126,2024-09-02T13:04:08.710,6829827.527035,1016718.764745,665.152518
ELEC.GR1.16,48.4912922983696,7.28858896444708,713.691901,2024-09-02T13:03:51.020,6829829.211556,1016719.873015,664.953225
ELEC.GR1.15,48.4913067479402,7.28860553292612,713.596284,2024-09-02T13:03:34.370,6829830.881873,1016721.008225,664.857672
ELEC.GR1.14,48.4913212529258,7.288620865892,713.474749,2024-09-02T13:03:17.590,6829832.553385,1016722.051945,664.736202
ELEC.GR1.13,48.4913358753956,7.28863737201391,713.377981,2024-09-02T13:03:02.150,6829834.242643,1016723.181509,664.639499
ELEC.GR1.12,48.4913504799301,7.28865322669163,713.347055,2024-09-02T13:02:44.030,6829835.927298,1016724.263118,664.608638
ELEC.GR1.11,48.4913646455862,7.2886688847487,713.294025,2024-09-02T13:02:27.300,6829837.56245,1016725.332868,664.555673
ELEC.GR1.10,48.4913789037642,7.28868587238534,713.294223,2024-09-02T13:02:09.460,6829839.213205,1016726.500155,664.555936
ELEC.GR1.9,48.4913931015913,7.28870247546546,713.316776,2024-09-02T13:01:53.060,6829840.855719,1016727.639433,664.578554
ELEC.GR1.8,48.4914075349803,7.28871854673252,713.29123,2024-09-02T13:01:37.590,6829842.522247,1016728.738052,664.553072
ELEC.GR1.7,48.4914216153266,7.28873448268703,713.273374,2024-09-02T13:01:20.130,6829844.149045,1016729.828817,664.535277
ELEC.GR1.6,48.4914359740361,7.28875169427418,713.201573,2024-09-02T13:01:02.430,6829845.811858,1016731.012017,664.463545
ELEC.GR1.5,48.4914500253334,7.28876804974069,713.01278,2024-09-02T13:00:46.690,6829847.437116,1016732.133908,664.274813
ELEC.GR1.4,48.4914641306093,7.28878367230352,712.648185,2024-09-02T13:00:30.960,6829849.065425,1016733.201399,663.910283
ELEC.GR1.3,48.4914780318515,7.28880053839475,712.424669,2024-09-02T13:00:09.490,6829850.676076,1016734.361868,663.686832
ELEC.GR1.2,48.4914922269405,7.2888173440721,712.182555,2024-09-02T12:59:49.440,6829852.3191,1016735.516105,663.444783
