G1WS48E2.bin
         2.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
480
 2
0
4  16.00  0.00 94.00  0.00 50.00  0.00 60.00  0.00 477.77 
4  18.00  0.00 24.00  0.00 20.00  0.00 22.00  0.00 770.99 
4  18.00  0.00 28.00  0.00 22.00  0.00 24.00  0.00 671.11 
4  18.00  0.00 32.00  0.00 24.00  0.00 26.00  0.00 628.97 
4  18.00  0.00 36.00  0.00 26.00  0.00 28.00  0.00 698.15 
4  18.00  0.00 42.00  0.00 28.00  0.00 32.00  0.00 606.41 
4  18.00  0.00 46.00  0.00 30.00  0.00 34.00  0.00 575.33 
4  18.00  0.00 50.00  0.00 32.00  0.00 36.00  0.00 567.87 
4  18.00  0.00 54.00  0.00 34.00  0.00 38.00  0.00 601.73 
4  18.00  0.00 60.00  0.00 36.00  0.00 42.00  0.00 578.77 
4  18.00  0.00 64.00  0.00 38.00  0.00 44.00  0.00 515.89 
4  18.00  0.00 68.00  0.00 40.00  0.00 46.00  0.00 450.57 
4  18.00  0.00 72.00  0.00 42.00  0.00 48.00  0.00 398.57 
4  18.00  0.00 78.00  0.00 44.00  0.00 52.00  0.00 353.35 
4  18.00  0.00 82.00  0.00 46.00  0.00 54.00  0.00 318.96 
4  18.00  0.00 86.00  0.00 48.00  0.00 56.00  0.00 356.98 
4  18.00  0.00 90.00  0.00 50.00  0.00 58.00  0.00 419.73 
4  20.00  0.00 26.00  0.00 22.00  0.00 24.00  0.00 679.00 
4  20.00  0.00 30.00  0.00 24.00  0.00 26.00  0.00 652.83 
4  20.00  0.00 34.00  0.00 26.00  0.00 28.00  0.00 724.17 
4  20.00  0.00 38.00  0.00 28.00  0.00 30.00  0.00 643.93 
4  20.00  0.00 44.00  0.00 30.00  0.00 34.00  0.00 575.32 
4  20.00  0.00 48.00  0.00 32.00  0.00 36.00  0.00 558.99 
4  20.00  0.00 52.00  0.00 34.00  0.00 38.00  0.00 558.28 
4  20.00  0.00 56.00  0.00 36.00  0.00 40.00  0.00 553.13 
4  20.00  0.00 62.00  0.00 38.00  0.00 44.00  0.00 498.70 
4  20.00  0.00 66.00  0.00 40.00  0.00 46.00  0.00 440.66 
4  20.00  0.00 70.00  0.00 42.00  0.00 48.00  0.00 384.36 
4  20.00  0.00 74.00  0.00 44.00  0.00 50.00  0.00 354.94 
4  20.00  0.00 80.00  0.00 46.00  0.00 54.00  0.00 305.68 
4  20.00  0.00 84.00  0.00 48.00  0.00 56.00  0.00 347.78 
4  20.00  0.00 88.00  0.00 50.00  0.00 58.00  0.00 418.30 
4  20.00  0.00 92.00  0.00 52.00  0.00 60.00  0.00 505.39 
4  22.00  0.00 28.00  0.00 24.00  0.00 26.00  0.00 671.31 
4  22.00  0.00 32.00  0.00 26.00  0.00 28.00  0.00 722.49 
4  22.00  0.00 36.00  0.00 28.00  0.00 30.00  0.00 694.78 
4  22.00  0.00 40.00  0.00 30.00  0.00 32.00  0.00 620.07 
4  22.00  0.00 46.00  0.00 32.00  0.00 36.00  0.00 544.93 
4  22.00  0.00 50.00  0.00 34.00  0.00 38.00  0.00 529.28 
4  22.00  0.00 54.00  0.00 36.00  0.00 40.00  0.00 502.31 
4  22.00  0.00 58.00  0.00 38.00  0.00 42.00  0.00 489.63 
4  22.00  0.00 64.00  0.00 40.00  0.00 46.00  0.00 418.69 
4  22.00  0.00 68.00  0.00 42.00  0.00 48.00  0.00 364.18 
4  22.00  0.00 72.00  0.00 44.00  0.00 50.00  0.00 342.29 
4  22.00  0.00 76.00  0.00 46.00  0.00 52.00  0.00 318.42 
4  22.00  0.00 82.00  0.00 48.00  0.00 56.00  0.00 333.51 
4  22.00  0.00 86.00  0.00 50.00  0.00 58.00  0.00 407.37 
4  22.00  0.00 90.00  0.00 52.00  0.00 60.00  0.00 497.82 
4  22.00  0.00 94.00  0.00 54.00  0.00 62.00  0.00 649.48 
4  24.00  0.00 30.00  0.00 26.00  0.00 28.00  0.00 894.75 
4  24.00  0.00 34.00  0.00 28.00  0.00 30.00  0.00 760.04 
4  24.00  0.00 38.00  0.00 30.00  0.00 32.00  0.00 669.25 
4  24.00  0.00 42.00  0.00 32.00  0.00 34.00  0.00 561.84 
4  24.00  0.00 48.00  0.00 34.00  0.00 38.00  0.00 525.14 
4  24.00  0.00 52.00  0.00 36.00  0.00 40.00  0.00 457.69 
4  24.00  0.00 56.00  0.00 38.00  0.00 42.00  0.00 452.39 
4  24.00  0.00 60.00  0.00 40.00  0.00 44.00  0.00 425.31 
4  24.00  0.00 66.00  0.00 42.00  0.00 48.00  0.00 354.20 
4  24.00  0.00 70.00  0.00 44.00  0.00 50.00  0.00 326.25 
4  24.00  0.00 74.00  0.00 46.00  0.00 52.00  0.00 309.41 
4  24.00  0.00 78.00  0.00 48.00  0.00 54.00  0.00 254.81 
4  24.00  0.00 84.00  0.00 50.00  0.00 58.00  0.00 392.86 
4  24.00  0.00 88.00  0.00 52.00  0.00 60.00  0.00 492.12 
4  24.00  0.00 92.00  0.00 54.00  0.00 62.00  0.00 643.93 
4  26.00  0.00 32.00  0.00 28.00  0.00 30.00  0.00 954.35 
4  26.00  0.00 36.00  0.00 30.00  0.00 32.00  0.00 857.21 
4  26.00  0.00 40.00  0.00 32.00  0.00 34.00  0.00 665.11 
4  26.00  0.00 44.00  0.00 34.00  0.00 36.00  0.00 593.81 
4  26.00  0.00 50.00  0.00 36.00  0.00 40.00  0.00 463.30 
4  26.00  0.00 54.00  0.00 38.00  0.00 42.00  0.00 417.94 
4  26.00  0.00 58.00  0.00 40.00  0.00 44.00  0.00 398.86 
4  26.00  0.00 62.00  0.00 42.00  0.00 46.00  0.00 348.96 
4  26.00  0.00 68.00  0.00 44.00  0.00 50.00  0.00 312.06 
4  26.00  0.00 72.00  0.00 46.00  0.00 52.00  0.00 300.84 
4  26.00  0.00 76.00  0.00 48.00  0.00 54.00  0.00 250.24 
4  26.00  0.00 80.00  0.00 50.00  0.00 56.00  0.00 302.54 
4  26.00  0.00 86.00  0.00 52.00  0.00 60.00  0.00 478.13 
4  26.00  0.00 90.00  0.00 54.00  0.00 62.00  0.00 625.46 
4  26.00  0.00 94.00  0.00 56.00  0.00 64.00  0.00 759.19 
4  28.00  0.00 34.00  0.00 30.00  0.00 32.00  0.00 1200.83 
4  28.00  0.00 38.00  0.00 32.00  0.00 34.00  0.00 912.40 
4  28.00  0.00 42.00  0.00 34.00  0.00 36.00  0.00 752.41 
4  28.00  0.00 46.00  0.00 36.00  0.00 38.00  0.00 602.94 
4  28.00  0.00 52.00  0.00 38.00  0.00 42.00  0.00 412.75 
4  28.00  0.00 56.00  0.00 40.00  0.00 44.00  0.00 389.11 
4  28.00  0.00 60.00  0.00 42.00  0.00 46.00  0.00 343.67 
4  28.00  0.00 64.00  0.00 44.00  0.00 48.00  0.00 319.01 
4  28.00  0.00 70.00  0.00 46.00  0.00 52.00  0.00 292.64 
4  28.00  0.00 74.00  0.00 48.00  0.00 54.00  0.00 248.33 
4  28.00  0.00 78.00  0.00 50.00  0.00 56.00  0.00 291.52 
4  28.00  0.00 82.00  0.00 52.00  0.00 58.00  0.00 389.55 
4  28.00  0.00 88.00  0.00 54.00  0.00 62.00  0.00 620.15 
4  28.00  0.00 92.00  0.00 56.00  0.00 64.00  0.00 723.90 
4  30.00  0.00 36.00  0.00 32.00  0.00 34.00  0.00 1377.80 
4  30.00  0.00 40.00  0.00 34.00  0.00 36.00  0.00 1023.81 
4  30.00  0.00 44.00  0.00 36.00  0.00 38.00  0.00 756.23 
4  30.00  0.00 48.00  0.00 38.00  0.00 40.00  0.00 530.36 
4  30.00  0.00 54.00  0.00 40.00  0.00 44.00  0.00 391.06 
4  30.00  0.00 58.00  0.00 42.00  0.00 46.00  0.00 341.42 
4  30.00  0.00 62.00  0.00 44.00  0.00 48.00  0.00 321.32 
4  30.00  0.00 66.00  0.00 46.00  0.00 50.00  0.00 304.30 
4  30.00  0.00 72.00  0.00 48.00  0.00 54.00  0.00 246.80 
4  30.00  0.00 76.00  0.00 50.00  0.00 56.00  0.00 281.62 
4  30.00  0.00 80.00  0.00 52.00  0.00 58.00  0.00 370.64 
4  30.00  0.00 84.00  0.00 54.00  0.00 60.00  0.00 534.69 
4  30.00  0.00 90.00  0.00 56.00  0.00 64.00  0.00 709.39 
4  30.00  0.00 94.00  0.00 58.00  0.00 66.00  0.00 798.32 
4  32.00  0.00 38.00  0.00 34.00  0.00 36.00  0.00 1422.78 
4  32.00  0.00 42.00  0.00 36.00  0.00 38.00  0.00 1030.11 
4  32.00  0.00 46.00  0.00 38.00  0.00 40.00  0.00 655.28 
4  32.00  0.00 50.00  0.00 40.00  0.00 42.00  0.00 497.39 
4  32.00  0.00 56.00  0.00 42.00  0.00 46.00  0.00 351.60 
4  32.00  0.00 60.00  0.00 44.00  0.00 48.00  0.00 327.57 
4  32.00  0.00 64.00  0.00 46.00  0.00 50.00  0.00 307.99 
4  32.00  0.00 68.00  0.00 48.00  0.00 52.00  0.00 274.22 
4  32.00  0.00 74.00  0.00 50.00  0.00 56.00  0.00 283.68 
4  32.00  0.00 78.00  0.00 52.00  0.00 58.00  0.00 355.67 
4  32.00  0.00 82.00  0.00 54.00  0.00 60.00  0.00 511.41 
4  32.00  0.00 86.00  0.00 56.00  0.00 62.00  0.00 646.38 
4  32.00  0.00 92.00  0.00 58.00  0.00 66.00  0.00 769.25 
4  34.00  0.00 40.00  0.00 36.00  0.00 38.00  0.00 1587.42 
4  34.00  0.00 44.00  0.00 38.00  0.00 40.00  0.00 885.00 
4  34.00  0.00 48.00  0.00 40.00  0.00 42.00  0.00 624.65 
4  34.00  0.00 52.00  0.00 42.00  0.00 44.00  0.00 407.13 
4  34.00  0.00 58.00  0.00 44.00  0.00 48.00  0.00 340.17 
4  34.00  0.00 62.00  0.00 46.00  0.00 50.00  0.00 321.49 
4  34.00  0.00 66.00  0.00 48.00  0.00 52.00  0.00 287.67 
4  34.00  0.00 70.00  0.00 50.00  0.00 54.00  0.00 220.27 
4  34.00  0.00 76.00  0.00 52.00  0.00 58.00  0.00 342.17 
4  34.00  0.00 80.00  0.00 54.00  0.00 60.00  0.00 484.50 
4  34.00  0.00 84.00  0.00 56.00  0.00 62.00  0.00 624.58 
4  34.00  0.00 88.00  0.00 58.00  0.00 64.00  0.00 742.00 
4  34.00  0.00 94.00  0.00 60.00  0.00 68.00  0.00 846.92 
4  36.00  0.00 42.00  0.00 38.00  0.00 40.00  0.00 1376.69 
4  36.00  0.00 46.00  0.00 40.00  0.00 42.00  0.00 836.59 
4  36.00  0.00 50.00  0.00 42.00  0.00 44.00  0.00 538.93 
4  36.00  0.00 54.00  0.00 44.00  0.00 46.00  0.00 381.52 
4  36.00  0.00 60.00  0.00 46.00  0.00 50.00  0.00 346.47 
4  36.00  0.00 64.00  0.00 48.00  0.00 52.00  0.00 305.54 
4  36.00  0.00 68.00  0.00 50.00  0.00 54.00  0.00 227.56 
4  36.00  0.00 72.00  0.00 52.00  0.00 56.00  0.00 284.49 
4  36.00  0.00 78.00  0.00 54.00  0.00 60.00  0.00 464.78 
4  36.00  0.00 82.00  0.00 56.00  0.00 62.00  0.00 598.60 
4  36.00  0.00 86.00  0.00 58.00  0.00 64.00  0.00 726.23 
4  36.00  0.00 90.00  0.00 60.00  0.00 66.00  0.00 793.18 
4  38.00  0.00 44.00  0.00 40.00  0.00 42.00  0.00 1216.49 
4  38.00  0.00 48.00  0.00 42.00  0.00 44.00  0.00 695.25 
4  38.00  0.00 52.00  0.00 44.00  0.00 46.00  0.00 432.04 
4  38.00  0.00 56.00  0.00 46.00  0.00 48.00  0.00 379.60 
4  38.00  0.00 62.00  0.00 48.00  0.00 52.00  0.00 328.35 
4  38.00  0.00 66.00  0.00 50.00  0.00 54.00  0.00 246.41 
4  38.00  0.00 70.00  0.00 52.00  0.00 56.00  0.00 281.03 
4  38.00  0.00 74.00  0.00 54.00  0.00 58.00  0.00 416.59 
4  38.00  0.00 80.00  0.00 56.00  0.00 62.00  0.00 568.65 
4  38.00  0.00 84.00  0.00 58.00  0.00 64.00  0.00 704.65 
4  38.00  0.00 88.00  0.00 60.00  0.00 66.00  0.00 792.08 
4  38.00  0.00 92.00  0.00 62.00  0.00 68.00  0.00 848.17 
4  40.00  0.00 46.00  0.00 42.00  0.00 44.00  0.00 947.22 
4  40.00  0.00 50.00  0.00 44.00  0.00 46.00  0.00 549.48 
4  40.00  0.00 54.00  0.00 46.00  0.00 48.00  0.00 396.60 
4  40.00  0.00 58.00  0.00 48.00  0.00 50.00  0.00 356.01 
4  40.00  0.00 64.00  0.00 50.00  0.00 54.00  0.00 258.87 
4  40.00  0.00 68.00  0.00 52.00  0.00 56.00  0.00 278.37 
4  40.00  0.00 72.00  0.00 54.00  0.00 58.00  0.00 413.82 
4  40.00  0.00 76.00  0.00 56.00  0.00 60.00  0.00 477.24 
4  40.00  0.00 82.00  0.00 58.00  0.00 64.00  0.00 671.97 
4  40.00  0.00 86.00  0.00 60.00  0.00 66.00  0.00 772.38 
4  40.00  0.00 90.00  0.00 62.00  0.00 68.00  0.00 839.16 
4  40.00  0.00 94.00  0.00 64.00  0.00 70.00  0.00 803.66 
4  42.00  0.00 48.00  0.00 44.00  0.00 46.00  0.00 705.28 
4  42.00  0.00 52.00  0.00 46.00  0.00 48.00  0.00 415.43 
4  42.00  0.00 56.00  0.00 48.00  0.00 50.00  0.00 356.11 
4  42.00  0.00 60.00  0.00 50.00  0.00 52.00  0.00 321.93 
4  42.00  0.00 66.00  0.00 52.00  0.00 56.00  0.00 289.98 
4  42.00  0.00 70.00  0.00 54.00  0.00 58.00  0.00 396.53 
4  42.00  0.00 74.00  0.00 56.00  0.00 60.00  0.00 472.97 
4  42.00  0.00 78.00  0.00 58.00  0.00 62.00  0.00 572.51 
4  42.00  0.00 84.00  0.00 60.00  0.00 66.00  0.00 744.19 
4  42.00  0.00 88.00  0.00 62.00  0.00 68.00  0.00 833.67 
4  42.00  0.00 92.00  0.00 64.00  0.00 70.00  0.00 786.53 
4  44.00  0.00 50.00  0.00 46.00  0.00 48.00  0.00 550.11 
4  44.00  0.00 54.00  0.00 48.00  0.00 50.00  0.00 344.18 
4  44.00  0.00 58.00  0.00 50.00  0.00 52.00  0.00 310.99 
4  44.00  0.00 62.00  0.00 52.00  0.00 54.00  0.00 191.55 
4  44.00  0.00 68.00  0.00 54.00  0.00 58.00  0.00 375.99 
4  44.00  0.00 72.00  0.00 56.00  0.00 60.00  0.00 458.76 
