FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
46.842255,53.821690,-47.000000,3.560000,51.000000,3.750000
44.825951,72.411865,-45.000000,3.390000,49.500000,3.750000
43.817799,67.110878,-44.000000,3.270000,48.000000,3.750000
41.801495,80.603905,-42.000000,3.100000,46.500000,3.750000
40.793343,90.524460,-41.000000,3.000000,45.000000,3.750000
39.108002,98.021729,-39.000000,2.860000,43.500000,3.750000
38.307999,94.244530,-38.000000,2.750000,42.000000,3.750000
36.708000,96.777298,-36.000000,2.650000,40.500000,3.750000
35.811920,89.213722,-35.000000,2.390000,39.000000,3.750000
33.719204,97.156075,-33.000000,2.210000,37.500000,3.750000
32.672848,85.769722,-32.000000,2.110000,36.000000,3.750000
30.587807,96.544060,-30.000000,1.990000,34.500000,3.750000
29.550375,94.720108,-29.000000,1.890000,33.000000,3.750000
27.492544,97.763435,-27.000000,1.750000,31.500000,3.750000
26.597084,97.858742,-26.000000,1.620000,30.000000,3.750000
24.806162,94.293419,-24.000000,1.450000,28.500000,3.750000
23.910702,85.089447,-23.000000,1.360000,27.000000,3.750000
22.119780,82.854942,-21.000000,1.310000,25.500000,3.750000
21.224319,77.116890,-20.000000,1.130000,24.000000,3.750000
21.090000,59.257931,-18.000000,0.920000,22.500000,3.750000
21.090000,37.205574,-17.000000,0.710000,21.000000,3.750000
21.090000,0.555289,-15.000000,0.600000,19.500000,3.750000
20.362326,0.099518,-14.000000,0.430000,18.000000,3.750000
18.543142,2.053188,-12.000000,0.310000,16.500000,3.750000
17.633551,2.817197,-11.000000,0.250000,15.000000,3.750000
15.534170,0.653880,-9.000000,0.150000,13.500000,3.750000
13.841907,56.382931,-8.000000,0.080000,12.000000,3.750000
10.457380,54.926765,-6.000000,0.080000,10.500000,3.750000
8.768063,32.175167,-5.000000,0.040000,9.000000,3.750000
6.411957,0.130321,-3.000000,0.020000,7.500000,3.750000
5.580607,65.318871,-2.000000,0.000000,6.000000,3.750000
4.445000,86.830780,0.000000,0.010000,3.000000,3.750000
4.445000,29.086432,0.000000,0.050000,4.500000,3.750000
8.099464,67.764000,2.000000,0.050000,1.500000,3.750000
11.270000,86.637863,3.000000,0.000000,0.000000,3.750000
46.610001,0.029140,-65.000000,5.520000,70.500000,5.250000
47.930141,96.296516,-63.000000,5.410000,69.000000,5.250000
48.590210,97.764130,-62.000000,5.250000,67.500000,5.250000
49.910351,22.523779,-60.000000,5.120000,66.000000,5.250000
50.570419,1.286968,-59.000000,4.950000,64.500000,5.250000
51.890560,0.000000,-57.000000,4.750000,63.000000,5.250000
